timestamp [s];actual_current [A];target_current [A];timestep [us];motor_torque [N.m];encoder_paddle_pos [deg];hall_voltage [V];encoder_paddle_vel [deg/s];led_0 [0.0-1.0];led_1 [0.0-1.0];led_2 [0.0-1.0];led_3 [0.0-1.0]
992.5972;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.59825;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.5993;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.60035;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.6014;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.6021;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.60315;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.6042;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.60525;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.6063;-0.0004305528419;0;350;0;0.9119999409;2.516095161;0;0;0;0;0
992.60735;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.6084;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.6091;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.61015;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.6112;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.61225;-0.0004305528419;0;350;0;0.9119999409;2.517205238;0;0;0;0;0
992.6133;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.61435;-0.0004305528419;0;350;0;0.9119999409;2.520535231;0;0;0;0;0
992.6154;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.6161;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.61715;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.6182;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.61925;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.6203;-0.0004305528419;0;350;0;0.9119999409;2.517205238;0;0;0;0;0
992.62135;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.6224;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.6231;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.62415;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.6252;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.62625;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.6273;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.62835;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.6294;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.6301;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.63115;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.6322;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.63325;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.6343;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.63535;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.63605;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.6371;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.63815;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.6392;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.64025;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.6413;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.64235;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.64305;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.6441;-0.0004305528419;0;350;0;0.9119999409;2.520535231;0;0;0;0;0
992.64515;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.6462;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.64725;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.6483;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.64935;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.65005;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.6511;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.65215;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.6532;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.65425;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.6553;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.656;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.65705;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.6581;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.65915;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.6602;-0.0004305528419;0;350;0;0.9119999409;2.517205238;0;0;0;0;0
992.66125;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.6623;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.663;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.66405;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
